cast_member,country_of_origin,director,original_language,publication_date,audience_average,audience_percent,audience_ratings,critic_average,critic_percent,oscars,awards,nominations,year,month,day,dayofweek,num_actors,action film,comedy film,crime film,drama film,horror film
8648,45,5355,19,94694400,3.1,43.0,9949.0,5.4,59.0,0,0,0,1973,1,1,0,2,1,0,0,0,1
11925,45,3268,19,1323907200,3.9,76.0,472609.0,7.7,93.0,5,30,0,2011,12,15,3,22,1,0,0,0,0
18903,45,2451,19,-883612800,4.0,85.0,6396.0,8.5,91.0,4,4,0,1942,1,1,3,11,0,0,0,1,0
14167,45,1252,19,1167609600,3.3,54.0,2547.0,5.8,50.0,0,0,0,2007,1,1,0,16,0,1,0,0,0
13713,45,4949,19,1082332800,3.0,66.0,32167418.0,6.9,83.0,7,25,0,2004,4,19,0,16,0,1,0,0,0
11959,45,6514,19,978307200,3.8,87.0,384643.0,5.8,55.0,0,0,0,2001,1,1,0,24,0,0,1,1,0
7924,7,1007,19,31536000,3.4,61.0,2309.0,6.6,73.0,0,0,0,1971,1,1,4,7,0,0,0,0,1
2655,9,5511,19,1136073600,3.8,86.0,141748.0,6.7,74.0,0,0,0,2006,1,1,6,9,1,0,0,0,0
6107,45,5931,19,1199145600,3.6,75.0,636411.0,4.6,26.0,5,6,0,2008,1,1,1,20,0,0,0,1,0
4349,45,2553,19,486950400,3.8,91.0,578490.0,6.1,70.0,3,6,0,1985,6,7,4,17,0,1,0,0,0
9769,45,2147,19,757382400,3.3,66.0,63575.0,6.5,78.0,0,0,0,1994,1,1,5,17,0,0,0,0,1
10675,8,3816,19,788918400,3.3,67.0,2586.0,6.6,71.0,0,0,0,1995,1,1,6,7,0,0,0,1,0
6093,16,240,19,1293840000,3.0,42.0,3448.0,4.0,17.0,0,0,0,2011,1,1,5,10,0,1,0,0,0
174,39,4668,19,599616000,3.5,75.0,2541.0,6.9,83.0,1,1,7,1989,1,1,6,11,0,0,0,1,0
6388,13,7829,19,1145577600,3.2,62.0,366903.0,4.5,29.0,8,0,0,2006,4,21,4,8,0,0,0,0,1
8591,45,6880,19,773020800,2.7,51.0,186179.0,3.9,20.0,0,0,0,1994,7,1,4,18,0,1,0,0,0
12749,16,6542,19,1104537600,3.2,47.0,496821.0,5.3,37.0,2,6,0,2005,1,1,5,26,0,0,0,1,0
6214,45,4422,19,1104537600,3.4,62.0,9632.0,5.0,32.0,1,2,0,2005,1,1,5,19,0,1,0,1,0
4652,45,7041,19,536457600,3.1,55.0,2317.0,6.0,71.0,0,0,0,1987,1,1,3,5,0,0,1,0,0
11955,45,5938,19,757382400,3.8,88.0,106984.0,8.0,92.0,0,0,0,1994,1,1,5,23,0,1,0,1,0
16116,45,6993,19,-568080000,3.4,55.0,6147.0,5.3,44.0,0,0,0,1952,1,1,1,25,0,0,0,1,0
11287,45,2001,19,694224000,4.1,90.0,10279.0,6.8,75.0,1,0,0,1992,1,1,2,5,0,0,1,1,0
13589,8,2687,19,662688000,3.7,90.0,28344.0,7.5,88.0,1,11,10,1991,1,1,1,8,0,1,0,1,0
1818,45,4308,19,508723200,3.0,56.0,51080.0,5.7,64.0,0,0,0,1986,2,14,4,9,0,0,0,1,0
1980,45,4776,19,378691200,3.4,54.0,1651.0,4.6,31.0,0,0,0,1982,1,1,4,11,0,0,0,1,0
17130,45,5382,19,-281318400,3.7,78.0,9365.0,8.1,100.0,0,0,0,1961,2,1,2,7,0,0,0,1,0
12466,45,279,19,804470400,2.5,30.0,132426.0,3.7,17.0,0,0,0,1995,6,30,4,20,1,0,0,0,0
4305,13,4530,19,587347200,3.7,84.0,35779.0,7.4,81.0,1,2,6,1988,8,12,4,16,0,0,0,1,0
7017,45,6870,19,788918400,3.5,77.0,51453.0,5.0,47.0,0,0,0,1995,1,1,6,6,0,0,0,1,0
6895,45,5674,19,220924800,2.8,33.0,8700.0,3.9,14.0,0,0,0,1977,1,1,5,9,0,0,0,0,1
4236,45,1194,19,157766400,3.3,63.0,25823.0,6.7,83.0,0,0,0,1975,1,1,2,18,1,0,0,0,0
865,58,762,63,-504921600,3.8,73.0,937.0,7.8,85.0,0,0,0,1954,1,1,4,16,0,0,0,1,0
10241,45,3368,19,1041379200,3.2,60.0,1347.0,5.6,53.0,0,0,0,2003,1,1,2,11,0,1,1,1,0
8267,45,3199,19,1356998400,3.2,46.0,58743.0,4.1,26.0,0,0,0,2013,1,1,1,7,0,1,0,0,0
8874,45,940,19,473385600,2.7,39.0,28271.0,3.4,18.0,0,0,0,1985,1,1,1,5,0,1,0,0,0
11735,58,5568,63,-568080000,4.3,93.0,6752.0,8.9,97.0,0,0,0,1952,1,1,1,6,0,0,0,1,0
6711,45,4967,19,1104537600,2.5,31.0,32032.0,4.3,20.0,1,10,0,2005,1,1,5,11,1,0,0,0,0
9720,7,7835,19,-252460800,2.8,39.0,178.0,5.2,43.0,0,0,0,1962,1,1,0,18,0,0,0,1,0
458,16,6688,19,1169510400,3.6,74.0,27147.0,4.9,31.0,0,0,0,2007,1,23,1,8,0,0,0,1,0
10705,45,7204,19,1041379200,3.8,77.0,13783.0,6.5,66.0,16,2,0,2003,1,1,2,4,0,0,0,1,0
2753,45,2146,19,1167609600,3.7,78.0,136206.0,6.6,69.0,4,4,0,2007,1,1,0,13,0,1,0,1,0
7566,45,4607,19,1136073600,3.3,67.0,422480.0,5.5,54.0,1,3,0,2006,1,1,6,27,0,0,1,1,0
17327,7,5818,19,621475200,3.9,88.0,21457.0,7.4,89.0,7,10,0,1989,9,11,0,21,0,0,1,1,0
9231,45,7172,19,504921600,3.4,69.0,9024.0,3.6,38.0,0,0,0,1986,1,1,2,8,0,0,0,1,0
16027,13,3959,70,1009843200,3.0,52.0,45745.0,6.1,60.0,1,2,0,2002,1,1,1,26,0,0,0,1,0
4139,45,2948,19,855878400,2.5,23.0,15349.0,4.0,13.0,2,0,0,1997,2,14,4,18,1,1,0,0,0
15412,45,2012,19,1041379200,3.6,74.0,8574.0,2.9,0.0,0,0,0,2003,1,1,2,7,0,0,0,0,1
2425,9,5872,97,662688000,4.1,94.0,22160.0,8.4,96.0,0,0,0,1991,1,1,1,2,0,0,0,1,0
10687,16,3695,19,1030665600,3.0,59.0,66216.0,6.9,81.0,5,16,0,2002,8,30,4,12,0,1,0,1,0
11204,8,2647,19,-63158400,3.3,51.0,463.0,3.7,8.0,0,0,0,1968,1,1,0,7,0,0,0,1,0
11668,7,2851,13,-441849600,3.1,38.0,540.0,5.3,80.0,0,0,0,1956,1,1,6,32,0,1,0,0,0
